State,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20, 4/1/20, 4/2/20, 4/3/20, 4/4/20, 4/5/20, 4/6/20, 4/7/20, 4/8/20, 4/9/20, 4/10/20, 4/11/20, 4/12/20, 4/13/20, 4/14/20, 4/15/20, 4/16/20, 4/17/20, 4/18/20, 4/19/20, 4/20/20, 4/21/20, 4/22/20, 4/23/20, 4/24/20, 4/25/20,4/26/20, 4/27/20, 4/28/20, 4/29/20, 4/30/20
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,11,23,28,32,38,44,45,52,64,67,78,80,93,93,103,114,123,137,151,147,160,164,186,201,201,209,213,219,228,242,262,272
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,5,6,6,6,7,7,7,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Arizona,0,0,0,0,0,0,0,1,2,2,5,6,8,8,15,18,20,24,29,32,41,52,64,65,73,80,89,97,108,115,122,131,142,150,169,177,184,187,208,229,249,266,273,275,275,293,304,320
Arkansas,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,6,7,8,10,12,12,14,16,16,18,18,21,24,25,27,30,32,34,37,37,38,39,42,43,44,45,47,48,50,51,57,59,61
California,5,6,7,12,13,18,23,24,30,30,40,53,65,81,121,130,149,181,215,246,285,321,350,387,450,507,559,598,633,681,731,789,889,973,1057,1148,1177,1227,1322,1437,1530,1618,1695,1720,1782,1862,1944,2044
Colorado,1,1,1,2,2,4,4,4,6,6,7,11,24,24,43,46,51,69,80,97,111,126,140,150,179,193,226,250,274,290,304,329,357,374,391,411,422,449,486,508,552,674,672,680,706,736,766,777
Connecticut,0,0,0,0,0,2,3,4,5,5,12,19,21,21,33,34,51,69,85,112,131,165,189,206,277,335,380,448,494,554,602,671,868,971,1036,1086,1127,1331,1423,1544,1639,1764,1862,1924,2012,2089,2168,2257
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,6,7,10,11,12,14,14,14,15,16,19,23,32,33,35,41,43,46,52,61,67,67,72,82,89,92,100,112,120,125,137,144,152
District of Columbia,0,0,0,0,0,0,1,1,2,2,2,2,3,3,4,4,9,9,11,12,15,21,22,24,24,27,32,38,47,50,52,67,72,81,86,91,96,105,112,127,139,153,165,178,185,190,205,224
Florida,3,4,5,6,7,9,10,13,13,13,18,22,29,29,56,59,71,85,101,144,170,195,221,254,296,323,371,419,446,461,499,571,614,668,726,748,774,823,867,927,987,1046,1055,1074,1088,1171,1218,1268
