date,Worldwide,Afghanistan,Albania,Algeria,Andorra,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Bhutan,Bosnia and Herzegovina,Brazil,Brunei Darussalam,Bulgaria,Cambodia,Cameroon,Canada,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,Estonia,Faroe Islands,Finland,France,French Guiana,Georgia,Germany,Gibraltar,Greece,Guernsey,Holy See,Hungary,Iceland,India,Indonesia,International conveyance (Diamond Princess),Iran,Iraq,Ireland,Israel,Italy,Japan,Jordan,Kuwait,Latvia,Lebanon,Liechtenstein,Lithuania,Luxembourg,Malaysia,Maldives,Malta,Martinique,Mexico,Monaco,Mongolia,Morocco,Nepal,Netherlands,New Zealand,Nigeria,North Macedonia,Norway,Occupied Palestinian Territory,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saint Barthélemy,Saint Martin,San Marino,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Thailand,The United Kingdom,Togo,Tunisia,Ukraine,United Arab Emirates,United States of America,Viet Nam
01-02-20,11953,null,null,null,null,null,null,12,null,null,null,null,null,null,null,null,null,null,null,1,null,4,null,11821,null,null,null,null,null,null,null,null,null,null,null,1,6,null,null,7,null,null,null,null,null,null,1,null,null,null,null,null,null,2,17,null,null,null,null,null,null,null,8,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,12,null,null,2,null,null,null,null,null,null,16,null,null,null,1,1,1,null,19,2,null,null,null,4,7,6
02-02-20,14557,null,null,null,null,null,null,12,null,null,null,null,null,null,null,null,null,null,null,1,null,4,null,14411,null,null,null,null,null,null,null,null,null,null,null,1,6,null,null,8,null,null,null,null,null,null,2,null,null,null,null,null,null,2,20,null,null,null,null,null,null,null,8,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,2,null,null,null,15,null,null,2,null,null,null,null,null,null,18,null,null,null,1,1,1,null,19,2,null,null,null,5,8,7
03-02-20,17391,null,null,null,null,null,null,12,null,null,null,null,null,null,null,null,null,null,null,1,null,4,null,17238,null,null,null,null,null,null,null,null,null,null,null,1,6,null,null,10,null,null,null,null,null,null,3,null,null,null,null,null,null,2,20,null,null,null,null,null,null,null,8,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,2,null,null,null,15,null,null,2,null,null,null,null,null,null,18,null,null,null,1,1,1,null,19,2,null,null,null,5,11,8
04-02-20,20630,null,null,null,null,null,null,12,null,null,null,null,null,null,null,null,null,null,null,1,null,4,null,20471,null,null,null,null,null,null,null,null,null,null,null,1,6,null,null,12,null,null,null,null,null,null,3,null,null,null,null,null,null,2,20,null,null,null,null,null,null,null,10,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,2,null,null,null,16,null,null,2,null,null,null,null,null,null,18,null,null,null,1,1,1,null,19,2,null,null,null,5,11,9
05-02-20,24544,null,null,null,null,null,null,13,null,null,null,null,null,1,null,null,null,null,null,1,null,5,null,24363,null,null,null,null,null,null,null,null,null,null,null,1,6,null,null,12,null,null,null,null,null,null,3,null,null,null,null,null,null,2,23,null,null,null,null,null,null,null,10,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,18,null,null,2,null,null,null,null,null,null,24,null,null,null,1,1,1,null,25,2,null,null,null,5,11,10
06-02-20,28276,null,null,null,null,null,null,14,null,null,null,null,null,1,null,null,null,null,null,1,null,5,null,28060,null,null,null,null,null,null,null,null,null,null,null,1,6,null,null,12,null,null,null,null,null,null,3,null,20,null,null,null,null,2,25,null,null,null,null,null,null,null,12,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,23,null,null,2,null,null,null,null,null,null,28,null,null,null,1,1,1,null,25,2,null,null,null,5,12,10
07-02-20,31481,null,null,null,null,null,null,15,null,null,null,null,null,1,null,null,null,null,null,1,null,7,null,31211,null,null,null,null,null,null,null,null,null,null,null,1,6,null,null,13,null,null,null,null,null,null,3,null,61,null,null,null,null,3,25,null,null,null,null,null,null,null,14,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,24,null,null,2,null,null,null,null,null,null,30,null,null,null,1,1,1,null,25,3,null,null,null,5,12,12
08-02-20,34886,null,null,null,null,null,null,15,null,null,null,null,null,1,null,null,null,null,null,1,null,7,null,34598,null,null,null,null,null,null,null,null,null,null,null,1,6,null,null,14,null,null,null,null,null,null,3,null,64,null,null,null,null,3,25,null,null,null,null,null,null,null,15,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,24,null,null,2,null,null,null,null,null,null,33,null,null,null,1,1,1,null,32,3,null,null,null,7,12,13
09-02-20,37558,null,null,null,null,null,null,15,null,null,null,null,null,1,null,null,null,null,null,1,null,7,null,37251,null,null,null,null,null,null,null,null,null,null,null,1,11,null,null,14,null,null,null,null,null,null,3,null,64,null,null,null,null,3,26,null,null,null,null,null,null,null,17,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,27,null,null,2,null,null,null,null,null,null,40,null,null,null,1,1,1,null,32,3,null,null,null,7,12,14
10-02-20,40554,null,null,null,null,null,null,15,null,null,null,null,null,1,null,null,null,null,null,1,null,7,null,40235,null,null,null,null,null,null,null,null,null,null,null,1,11,null,null,14,null,null,null,null,null,null,3,null,70,null,null,null,null,3,26,null,null,null,null,null,null,null,18,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,27,null,null,2,null,null,null,null,null,null,43,null,null,null,2,1,1,null,32,4,null,null,null,7,12,14
